Concept,Notes
"The economic loss rule: tort law does not compensate for pure economic losses absent physical injury or property damage; exceptions for negligent misrepresentation, professional malpractice.","economic loss rule: no tort recovery for pure economic loss w/o physical injury; exceptions: negligent misrepresentation, malpractice"
Trademark protection: distinctive marks (fanciful > arbitrary > suggestive > descriptive > generic); dilution by blurring or tarnishment; international protection via Madrid Protocol.,trademark: fanciful>arbitrary>suggestive>descriptive>generic; dilution: blurring or tarnishment; Madrid Protocol = intl
Contract formation: offer + acceptance + consideration + capacity + legality; counteroffers terminate original offer; mirror image rule vs. UCC battle of forms.,contract: offer + acceptance + consideration + capacity + legality; counteroffer terminates offer; mirror image rule vs. UCC battle of forms
"The business judgment rule: directors presumed to act in good faith, informed, and in corporation's best interest; rebuttable; overcome by showing fraud or gross negligence.",BJR: directors presumed good faith + informed + corp's interest; rebuttable by fraud or gross negligence
Substantive due process: government may not deprive persons of fundamental rights w/o compelling interest + narrow tailoring; non-fundamental rights = rational basis review.,substantive due process: fundamental rights → compelling interest + narrow tailoring; non-fundamental → rational basis
The Clean Air Act: EPA sets National Ambient Air Quality Standards (NAAQS); states implement via SIPs; stationary sources need permits; citizen suit provision.,Clean Air Act: EPA sets NAAQS; states implement via SIPs; stationary source permits; citizen suit provision
Fraudulent conveyance: transfer of assets to hinder creditors; Uniform Fraudulent Transfer Act: actual intent fraud or constructive fraud (insolvent + inadequate consideration).,fraudulent conveyance: transfer to hinder creditors; UFTA: actual intent or constructive (insolvent + inadequate consideration)
Working memory model (Baddeley): central executive + phonological loop (verbal) + visuospatial sketchpad (visual) + episodic buffer (integrated storage); ~4 chunks capacity.,working memory (Baddeley): central executive + phonological loop + visuospatial sketchpad + episodic buffer; ~4 chunks
Hebbian plasticity: 'neurons that fire together wire together'; correlated activity → LTP; uncorrelated or anti-correlated → LTD; basis of associative learning.,Hebbian: fire together → wire together; correlated → LTP; uncorrelated/anti-correlated → LTD; associative learning basis
"The dual-process theory (Kahneman): System 1 = fast, automatic, intuitive, unconscious; System 2 = slow, deliberate, effortful, conscious; cognitive biases from System 1.",dual-process (Kahneman): S1=fast+automatic+intuitive; S2=slow+deliberate+effortful; cognitive biases = S1 errors
Operant conditioning: positive reinforcement (add reward → ↑ behavior); negative reinforcement (remove aversive → ↑ behavior); punishment (↓ behavior); extinction (no response → behavior stops).,operant conditioning: +reinforce (add reward→↑beh); -reinforce (remove aversive→↑beh); punishment (↓beh); extinction (no response→beh stops)
"The Big Five personality traits (OCEAN): Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism; stable across cultures; predict job performance and health outcomes.",Big Five (OCEAN): Openness+Conscientiousness+Extraversion+Agreeableness+Neuroticism; culturally stable; predicts job+health
"Attachment theory (Bowlby/Ainsworth): secure (confident exploration), anxious-avoidant, anxious-ambivalent, disorganized; early attachment patterns shape adult relationships.",attachment (Bowlby/Ainsworth): secure (explore freely) + anxious-avoidant + anxious-ambivalent + disorganized; early patterns → adult relationships
The self-determination theory: competence + autonomy + relatedness are basic psychological needs; intrinsic motivation > extrinsic for sustained behavior; overjustification effect.,SDT: competence + autonomy + relatedness = basic needs; intrinsic > extrinsic for sustained beh; overjustification effect
Maslow's hierarchy: physiological → safety → love/belonging → esteem → self-actualization; lower needs must be met before higher; peak experiences at top.,Maslow: physiological→safety→love/belonging→esteem→self-actualization; lower needs first; peak experience at top
The prefrontal cortex: dorsolateral PFC = working memory + planning; ventromedial PFC = emotion regulation + decision-making; orbitofrontal = reward + social cognition.,PFC: dorsolateral = working memory + planning; ventromedial = emotion regulation + decisions; orbitofrontal = reward + social cognition
Pavlovian fear conditioning: CS (tone) paired w/ US (shock) → CR (freezing); amygdala (basolateral) acquires; infralimbic cortex extinguishes; NMDA receptors required.,fear conditioning: CS(tone)+US(shock)→CR(freezing); BLA acquires; infralimbic extinguishes; NMDA required
The Stroop effect: naming ink color of incongruent color words is slower; selective attention + cognitive control required; measures executive function; frontal lobe involvement.,Stroop effect: naming ink color of color words (incongruent) → slower; selective attention + executive control; frontal lobe
"Phantom limb pain: pain perceived in amputated limb; caused by cortical remapping and maladaptive plasticity; treated with mirror therapy, virtual reality, graded motor imagery.",phantom limb pain: pain in amputated limb; cortical remapping + maladaptive plasticity; tx: mirror therapy/VR/graded motor imagery
The mesolimbic dopamine system: VTA → nucleus accumbens; encodes reward prediction error (RPE = actual - predicted reward); depletion causes anhedonia.,mesolimbic DA: VTA → nucleus accumbens; encodes RPE (actual - predicted reward); ↓ DA → anhedonia
"Cognitive behavioral model of depression: negative cognitive triad (self, world, future) + cognitive distortions (catastrophizing, black-and-white thinking); treated with CBT.","CBT depression model: negative triad (self+world+future) + cognitive distortions (catastrophizing, B&W thinking); CBT targets distortions"
"The default mode network deactivates during focused external tasks; activated by self-referential thought, mind-wandering, perspective-taking; key node: medial PFC, PCC.","DMN: deactivates during external focus; active: self-referential thought, mind-wandering, perspective-taking; mPFC + PCC key nodes"
Erikson's psychosocial stages: trust vs. mistrust (infancy) → autonomy vs. shame → initiative vs. guilt → industry vs. inferiority → identity vs. role confusion → intimacy vs. isolation → generativity → integrity vs. despair.,Erikson stages: trust→autonomy→initiative→industry→identity→intimacy→generativity→integrity; each = psychosocial conflict
"Emotional regulation strategies: reappraisal (effective, changes interpretation before emotion) vs. suppression (ineffective, hides emotion after); reappraisal → better outcomes.",emotion regulation: reappraisal (change interpretation early) = effective; suppression (hide after) = ineffective; reappraisal → better health+relationships
Theories of consciousness: Global Workspace Theory (Baars): conscious = broadcast to many brain areas; Integrated Information Theory (Tononi): consciousness = Phi (information integration).,consciousness theories: GWT (Baars) = conscious info broadcast widely; IIT (Tononi) = consciousness ∝ Phi (integrated info)
"The reinforcement learning model: agent takes action in environment → receives reward → updates value function; Q-learning: Q(s,a) ← Q(s,a) + α[r + γ·max Q(s',a') - Q(s,a)].","RL: agent → action → reward → update value; Q-learning: Q(s,a) ← Q+α[r+γ·maxQ(s')-Q]; TD learning"
The James-Lange theory of emotion: physiological arousal precedes and causes emotion; stimulus → body response → conscious feeling; Cannon-Bard: simultaneous arousal + feeling.,James-Lange: stimulus → body arousal → emotion; arousal precedes feeling; Cannon-Bard: arousal + feeling simultaneous
"The curse of knowledge: once you know something, difficult to imagine not knowing it; leads to communication failures, poor teaching; children = less affected.",curse of knowledge: knowing X → hard to imagine not knowing X; communication failure; poor teaching; ↓ empathy for novices
The serial position effect: better recall for first (primacy = long-term memory) and last items (recency = working memory); middle items poorest recall.,serial position: primacy (first items = LTM) + recency (last items = WM) → best recall; middle = worst
"Autistic spectrum disorder: impaired social communication + restricted/repetitive behaviors; genetic component (~80%); structural differences in amygdala, cerebellum, mirror neuron system.",ASD: ↓ social communication + restricted/repetitive behavior; ~80% genetic; amygdala+cerebellum+mirror neuron diffs
The cocktail party effect: ability to selectively attend to one voice in noisy environment; early selection (Broadbent) vs. late selection (Deutsch-Norman) models of attention.,cocktail party effect: selective attention to one voice; early selection (Broadbent) vs. late selection (Deutsch-Norman)
Psychopharmacology: drug efficacy = Emax (max effect); potency = ED50 (dose for half-max effect); therapeutic index TI = LD50/ED50; wide TI = safer drug.,drug: Emax = max effect; ED50 = dose for half-max (potency); therapeutic index = LD50/ED50; ↑ TI = safer
The spreading activation model: semantic memory as network; activating a concept spreads to related concepts; explains priming effects and semantic interference.,spreading activation: semantic network; activating node → spreads to related nodes; explains priming + semantic interference
Flow state (Csikszentmihalyi): optimal experience when challenge slightly exceeds skill; full absorption; intrinsic reward; anxiety if challenge >> skill; boredom if skill >> challenge.,flow (Csikszentmihalyi): challenge slightly > skill → absorption + intrinsic reward; anxiety: challenge>>skill; boredom: skill>>challenge
"The somatosensory cortex: primary S1 (postcentral gyrus) processes touch, pressure, pain, temperature; secondary S2 (parietal operculum) integrates + identifies; proportional to receptor density.",S1 (postcentral gyrus): touch/pressure/pain/temp; S2 (parietal operculum): integration + ID; cortical area ∝ receptor density
Social identity theory (Tajfel): group membership → social identity; in-group favoritism + out-group derogation; minimal group paradigm shows arbitrary groups sufficient.,social identity theory: group membership → identity; in-group favoritism + out-group derogation; minimal group: arbitrary groups sufficient
